"","year","chamber","District","Prez_Dem","Prez_Repub","Gub_Dem","Gub_Repub","US_Sen_Dem","US_Sen_Repub","US_Sen2_Dem","US_Sen2_Repub"
"156",1976,"SEN",36,88522,182846,NA,NA,101149,186375,NA,NA
"157",1976,"SEN",37,73023,95293,NA,NA,79826,98752,NA,NA
"158",1976,"SEN",38,113322,170535,NA,NA,109015,172198,NA,NA
"159",1976,"SEN",39,97548,129429,NA,NA,93709,130637,NA,NA
"160",1976,"SEN",40,77856,73431,NA,NA,73334,75569,NA,NA
"161",1976,"HS",1,61292,59969,NA,NA,53398,65826,NA,NA
"162",1976,"HS",2,59456,49090,NA,NA,56489,51210,NA,NA
"163",1976,"HS",3,56347,56753,NA,NA,48041,64188,NA,NA
"164",1976,"HS",4,55157,48406,NA,NA,50352,51604,NA,NA
"165",1976,"HS",5,55706,46936,NA,NA,45891,54546,NA,NA
"166",1976,"HS",6,57941,50505,NA,NA,50582,55227,NA,NA
"167",1976,"HS",7,58980,60185,NA,NA,51774,65348,NA,NA
"168",1976,"HS",8,56750,56865,NA,NA,54603,58741,NA,NA
"169",1976,"HS",9,54885,64216,NA,NA,54245,65570,NA,NA
"170",1976,"HS",10,58358,68766,NA,NA,56923,70137,NA,NA
"171",1976,"HS",11,55741,35704,NA,NA,53937,37322,NA,NA
"172",1976,"HS",12,66465,61426,NA,NA,70553,56889,NA,NA
"173",1976,"HS",13,51413,23029,NA,NA,50800,20750,NA,NA
"174",1976,"HS",14,51275,27047,NA,NA,47478,26687,NA,NA
"175",1976,"HS",15,50960,44373,NA,NA,48223,45594,NA,NA
"176",1976,"HS",16,40211,23082,NA,NA,43010,20371,NA,NA
"177",1976,"HS",17,49340,40697,NA,NA,55800,34482,NA,NA
"178",1976,"HS",18,48664,43236,NA,NA,53347,40424,NA,NA
"179",1976,"HS",19,43941,45884,NA,NA,44857,44531,NA,NA
"180",1976,"HS",20,48221,65679,NA,NA,50543,62426,NA,NA
"181",1976,"HS",21,50658,47884,NA,NA,51905,45932,NA,NA
"182",1976,"HS",22,44021,68195,NA,NA,42235,70418,NA,NA
"183",1976,"HS",23,45175,37564,NA,NA,43146,39197,NA,NA
"184",1976,"HS",24,52214,54520,NA,NA,46005,59983,NA,NA
"185",1976,"HS",25,50847,38277,NA,NA,47065,40989,NA,NA
"186",1976,"HS",26,42426,37372,NA,NA,38220,39056,NA,NA
"187",1976,"HS",27,46281,39512,NA,NA,41454,39380,NA,NA
"188",1976,"HS",28,58442,53577,NA,NA,52024,59107,NA,NA
"189",1976,"HS",29,44124,51210,NA,NA,41022,51100,NA,NA
"190",1976,"HS",30,42871,32419,NA,NA,37147,34184,NA,NA
"191",1976,"HS",31,46476,54647,NA,NA,41763,56610,NA,NA
"192",1976,"HS",32,32152,36527,NA,NA,30113,34957,NA,NA
"193",1976,"HS",33,38658,45681,NA,NA,35704,46840,NA,NA
"194",1976,"HS",34,37708,49609,NA,NA,33894,45754,NA,NA
"195",1976,"HS",35,51978,56655,NA,NA,53790,54441,NA,NA
"196",1976,"HS",36,45705,47812,NA,NA,42787,49654,NA,NA
"197",1976,"HS",37,43023,61343,NA,NA,37703,56691,NA,NA
"198",1976,"HS",38,50099,75017,NA,NA,48590,66921,NA,NA
"199",1976,"HS",39,40707,37733,NA,NA,34552,34823,NA,NA
"200",1976,"HS",40,48399,45539,NA,NA,41936,38767,NA,NA
"201",1976,"HS",41,36306,60477,NA,NA,29774,51060,NA,NA
"202",1976,"HS",42,40864,65984,NA,NA,36125,56055,NA,NA
"203",1976,"HS",43,68658,67494,NA,NA,75957,48271,NA,NA
"204",1976,"HS",44,61892,47955,NA,NA,58765,37641,NA,NA
"205",1976,"HS",45,63767,44962,NA,NA,59406,34554,NA,NA
"206",1976,"HS",46,35053,28449,NA,NA,29751,24427,NA,NA
"207",1976,"HS",47,41683,10384,NA,NA,33115,8327,NA,NA
"208",1976,"HS",48,41689,10916,NA,NA,34675,8990,NA,NA
"209",1976,"HS",49,63287,28361,NA,NA,54262,24034,NA,NA
"210",1976,"HS",50,51185,24846,NA,NA,45118,21572,NA,NA
"211",1976,"HS",51,38150,73072,NA,NA,35888,60611,NA,NA
"212",1976,"HS",52,36943,39977,NA,NA,30550,34998,NA,NA
"213",1976,"HS",53,38451,27439,NA,NA,30854,25710,NA,NA
"214",1976,"HS",54,40921,15868,NA,NA,30777,13653,NA,NA
"215",1976,"HS",55,32477,22572,NA,NA,26165,19993,NA,NA
"216",1976,"HS",56,25205,9948,NA,NA,20594,8296,NA,NA
"217",1976,"HS",57,41139,32464,NA,NA,34392,28137,NA,NA
"218",1976,"HS",58,47540,58062,NA,NA,40050,50922,NA,NA
"219",1976,"HS",59,44194,36132,NA,NA,36500,30865,NA,NA
"220",1976,"HS",60,33056,24233,NA,NA,25250,22600,NA,NA
"221",1976,"HS",61,34271,64466,NA,NA,28911,53360,NA,NA
"222",1976,"HS",62,40260,58445,NA,NA,33488,49462,NA,NA
"223",1976,"HS",63,41736,43529,NA,NA,35959,37140,NA,NA
"224",1976,"HS",64,39016,61665,NA,NA,34620,53018,NA,NA
"225",1976,"HS",65,35810,39385,NA,NA,32733,37135,NA,NA
"226",1976,"HS",66,42247,29037,NA,NA,41329,25805,NA,NA
"227",1976,"HS",67,47702,56955,NA,NA,46773,55396,NA,NA
"228",1976,"HS",68,46712,43959,NA,NA,50907,39805,NA,NA
"229",1976,"HS",69,38109,61246,NA,NA,39747,64747,NA,NA
"230",1976,"HS",70,39131,78635,NA,NA,40723,80830,NA,NA
"231",1976,"HS",71,38623,51331,NA,NA,42566,53262,NA,NA
"232",1976,"HS",72,34400,43962,NA,NA,37260,45490,NA,NA
"233",1976,"HS",73,43937,80720,NA,NA,48942,80620,NA,NA
"234",1976,"HS",74,44585,102126,NA,NA,52207,105755,NA,NA
"235",1976,"HS",75,49034,61435,NA,NA,49283,60433,NA,NA
"236",1976,"HS",76,64288,109100,NA,NA,59732,111765,NA,NA
"237",1976,"HS",77,50526,71906,NA,NA,47365,73253,NA,NA
"238",1976,"HS",78,47022,57523,NA,NA,46344,57384,NA,NA
"239",1976,"HS",79,37057,29422,NA,NA,35236,29768,NA,NA
"240",1976,"HS",80,40799,44009,NA,NA,38098,45801,NA,NA
"241",1978,"SEN",1,NA,NA,116740,95735,NA,NA,NA,NA
"242",1978,"SEN",2,NA,NA,122666,80253,NA,NA,NA,NA
"243",1978,"SEN",3,NA,NA,109845,69137,NA,NA,NA,NA
"244",1978,"SEN",4,NA,NA,118161,77636,NA,NA,NA,NA
"245",1978,"SEN",5,NA,NA,108064,29166,NA,NA,NA,NA
"246",1978,"SEN",6,NA,NA,100197,51330,NA,NA,NA,NA
"247",1978,"SEN",7,NA,NA,111430,67315,NA,NA,NA,NA
"248",1978,"SEN",8,NA,NA,92394,41784,NA,NA,NA,NA
"249",1978,"SEN",9,NA,NA,113398,47964,NA,NA,NA,NA
"250",1978,"SEN",10,NA,NA,109399,62056,NA,NA,NA,NA
"251",1978,"SEN",11,NA,NA,106562,50466,NA,NA,NA,NA
"252",1978,"SEN",12,NA,NA,99168,52774,NA,NA,NA,NA
"253",1978,"SEN",13,NA,NA,103219,82627,NA,NA,NA,NA
"254",1978,"SEN",14,NA,NA,84969,54257,NA,NA,NA,NA
"255",1978,"SEN",15,NA,NA,78668,70375,NA,NA,NA,NA
"256",1978,"SEN",16,NA,NA,77248,70191,NA,NA,NA,NA
"257",1978,"SEN",17,NA,NA,103953,72691,NA,NA,NA,NA
"258",1978,"SEN",18,NA,NA,106489,68630,NA,NA,NA,NA
"259",1978,"SEN",19,NA,NA,96262,95073,NA,NA,NA,NA
"260",1978,"SEN",20,NA,NA,81095,53734,NA,NA,NA,NA
"261",1978,"SEN",21,NA,NA,80005,84684,NA,NA,NA,NA
"262",1978,"SEN",22,NA,NA,127325,67365,NA,NA,NA,NA
"263",1978,"SEN",23,NA,NA,99115,41224,NA,NA,NA,NA
"264",1978,"SEN",24,NA,NA,56461,18934,NA,NA,NA,NA
"265",1978,"SEN",25,NA,NA,78227,83580,NA,NA,NA,NA
"266",1978,"SEN",26,NA,NA,73626,36133,NA,NA,NA,NA
"267",1978,"SEN",27,NA,NA,78406,69119,NA,NA,NA,NA
"268",1978,"SEN",28,NA,NA,67887,26487,NA,NA,NA,NA
"269",1978,"SEN",29,NA,NA,70956,12756,NA,NA,NA,NA
"270",1978,"SEN",30,NA,NA,106398,30242,NA,NA,NA,NA
"271",1978,"SEN",31,NA,NA,84740,58405,NA,NA,NA,NA
"272",1978,"SEN",32,NA,NA,78897,49662,NA,NA,NA,NA
