"","year","chamber","District","Dem","Repub","incumbency","incumbentparty","dummyparty"
"333",2000,"HS",11,98728,0,0,0,1
"334",2002,"HS",11,0,29741,0,0,-1
"335",2004,"HS",11,95912,0,1,1,1
"336",2006,"HS",11,69054,0,0,0,1
"337",2014,"HS",11,28926,20803,1,1,0
"338",1976,"SEN",11,136846,0,1,1,1
"339",1980,"SEN",11,0,72805,0,0,-1
"340",1984,"SEN",11,0,148629,0,0,-1
"341",1988,"SEN",11,100639,0,0,0,1
"342",1992,"SEN",11,0,218855,1,-1,-1
"343",1996,"SEN",11,177155,0,0,0,1
"344",2000,"SEN",11,183887,0,1,1,1
"345",2004,"SEN",11,230484,0,0,0,1
"346",1974,"HS",12,63147,44841,1,1,0
"347",1976,"HS",12,0,49400,0,0,-1
"348",1978,"HS",12,0,46966,0,0,-1
"349",1980,"HS",12,77238,41898,1,1,0
"350",1982,"HS",12,95875,0,1,1,1
"351",1984,"HS",12,130682,0,1,1,1
"352",1988,"HS",12,0,36626,0,0,-1
"353",1990,"HS",12,82766,0,1,1,1
"354",1992,"HS",12,84924,34104,1,1,0
"355",1994,"HS",12,71371,0,1,1,1
"356",1998,"HS",12,80962,19615,1,1,0
"357",2000,"HS",12,110644,23905,1,1,0
"358",2002,"HS",12,72166,0,0,0,1
"359",2004,"HS",12,0,23803,0,0,-1
"360",2006,"HS",12,0,17020,0,0,-1
"361",2012,"HS",12,58517,89821,1,-1,0
"362",2014,"HS",12,10026,40930,1,-1,0
"363",1974,"SEN",12,0,66142,1,-1,-1
"364",1978,"SEN",12,96897,61642,1,1,0
"365",1982,"SEN",12,0,76327,0,0,-1
"366",1986,"SEN",12,90911,71464,1,1,0
"367",1990,"SEN",12,106857,73912,1,1,0
"368",1994,"SEN",12,96542,0,1,1,1
"369",1998,"SEN",12,91623,0,0,0,1
"370",2002,"SEN",12,72034,0,0,0,1
"371",2014,"SEN",12,23561,43078,1,-1,0
"372",1974,"HS",13,46738,13449,1,1,0
"373",1976,"HS",13,56473,0,1,1,1
"374",1980,"HS",13,53667,0,1,1,1
"375",1988,"HS",13,74802,0,1,1,1
"376",1990,"HS",13,52860,13682,0,0,0
"377",1992,"HS",13,103799,28253,1,1,0
"378",1994,"HS",13,0,21488,0,0,-1
"379",1996,"HS",13,114524,0,0,0,1
"380",1998,"HS",13,95218,17073,1,1,0
"381",2000,"HS",13,0,22037,0,0,-1
"382",2002,"HS",13,0,15278,0,0,-1
"383",2004,"HS",13,148863,0,1,1,1
"384",2014,"HS",13,62976,40572,1,1,0
"385",1976,"SEN",13,104953,92872,0,0,0
"386",1984,"SEN",13,131808,0,1,1,1
"387",1988,"SEN",13,0,65231,0,0,-1
"388",1992,"SEN",13,140081,0,1,1,1
"389",1996,"SEN",13,0,55737,0,0,-1
"390",2000,"SEN",13,0,54076,0,0,-1
"391",2004,"SEN",13,0,62157,0,0,-1
"392",2008,"SEN",13,179855,0,1,1,1
"393",2012,"SEN",13,112321,0,0,0,1
"394",1974,"HS",14,49456,12712,0,0,0
"395",1976,"HS",14,55486,15165,1,1,0
"396",1978,"HS",14,45464,0,1,1,1
"397",1988,"HS",14,80749,30396,1,1,0
"398",1990,"HS",14,0,22593,0,0,-1
"399",1992,"HS",14,126317,0,1,1,1
"400",1994,"HS",14,97999,0,1,1,1
"401",1996,"HS",14,90539,29121,0,0,0
"402",1998,"HS",14,103726,15287,1,1,0
"403",2000,"HS",14,123968,0,1,1,1
"404",2002,"HS",14,102373,0,0,0,1
"405",2004,"HS",14,0,32531,0,0,-1
"406",2008,"HS",14,162432,0,0,0,1
"407",2012,"HS",14,135834,0,1,1,1
"408",2014,"HS",14,47372,7999,1,1,0
"409",1974,"SEN",14,93270,0,1,1,1
"410",1978,"SEN",14,89153,35218,1,1,0
"411",1990,"SEN",14,0,135369,1,-1,-1
"412",1998,"SEN",14,0,174832,0,0,-1
"413",2002,"SEN",14,0,175369,1,-1,-1
"414",2014,"SEN",14,31371,25054,0,0,0
"415",1974,"HS",15,0,26877,0,0,-1
"416",1976,"HS",15,71181,22165,0,0,0
"417",1978,"HS",15,50013,25928,1,1,0
"418",1980,"HS",15,45103,55855,1,1,0
"419",1982,"HS",15,40744,78816,1,-1,0
"420",1984,"HS",15,43736,107402,1,-1,0
"421",1986,"HS",15,38817,80500,1,-1,0
"422",1990,"HS",15,61725,75624,1,-1,0
"423",1996,"HS",15,0,89328,0,0,-1
"424",1998,"HS",15,0,94589,1,-1,-1
"425",2004,"HS",15,91709,113079,1,-1,0
"426",2006,"HS",15,73466,89039,1,-1,0
"427",2008,"HS",15,125897,115096,0,0,0
"428",2012,"HS",15,164929,0,1,1,1
"429",2014,"HS",15,78396,0,0,0,1
"430",1976,"SEN",15,85045,82194,0,0,0
"431",1984,"SEN",15,162173,51582,1,1,0
"432",1988,"SEN",15,176467,0,1,1,1
"433",1992,"SEN",15,0,95142,0,0,-1
"434",1996,"SEN",15,120846,0,0,0,1
"435",2000,"SEN",15,112942,155039,1,-1,0
"436",2004,"SEN",15,157556,0,0,0,1
"437",2012,"SEN",15,122345,0,0,0,1
"438",1974,"HS",16,32315,0,1,1,1
"439",1976,"HS",16,0,11410,0,0,-1
"440",1978,"HS",16,0,8630,0,0,-1
"441",1980,"HS",16,45492,0,1,1,1
"442",1986,"HS",16,66498,0,1,1,1
"443",1988,"HS",16,63672,13263,0,0,0
"444",1990,"HS",16,57557,0,1,1,1
"445",1992,"HS",16,0,24324,0,0,-1
"446",1994,"HS",16,68197,15966,1,1,0
"447",2000,"HS",16,78347,10004,0,0,0
"448",2002,"HS",16,0,11634,0,0,-1
"449",2008,"HS",16,136066,18817,1,1,0
"450",2010,"HS",16,99082,0,1,1,1
"451",2012,"HS",16,125952,86803,1,1,0
"452",2014,"HS",16,47255,25593,0,0,0
"453",1974,"SEN",16,90434,48718,1,1,0
"454",1978,"SEN",16,93012,64300,1,1,0
"455",1982,"SEN",16,94983,76751,1,1,0
"456",1990,"SEN",16,72796,0,0,0,1
"457",1994,"SEN",16,70329,66053,0,0,0
"458",2010,"SEN",16,71334,46717,0,0,0
"459",2014,"SEN",16,7887,14947,1,-1,0
"460",1974,"HS",17,44847,23655,1,1,0
"461",1976,"HS",17,51083,0,1,1,1
"462",1980,"HS",17,53008,27056,1,1,0
"463",1986,"HS",17,0,25069,0,0,-1
"464",1988,"HS",17,0,28159,0,0,-1
"465",1990,"HS",17,0,26572,0,0,-1
"466",1992,"HS",17,57697,59165,0,0,0
"467",1994,"HS",17,45710,44316,0,0,0
"468",1996,"HS",17,54607,0,1,1,1
"469",2000,"HS",17,0,54031,0,0,-1
"470",2008,"HS",17,77525,39480,1,1,0
"471",2010,"HS",17,52219,37293,1,1,0
"472",2012,"HS",17,161124,25728,1,1,0
"473",2014,"HS",17,94992,5843,0,0,0
"474",1980,"SEN",17,117769,0,0,0,1
"475",1984,"SEN",17,148827,78003,1,1,0
"476",1988,"SEN",17,170514,69754,1,1,0
"477",1992,"SEN",17,101715,0,0,0,1
"478",2000,"SEN",17,84427,172723,1,-1,0
"479",2004,"SEN",17,0,179992,0,0,-1
"480",1974,"HS",18,56779,17631,1,1,0
"481",1976,"HS",18,54661,23475,1,1,0
"482",1978,"HS",18,47685,0,1,1,1
"483",1980,"HS",18,0,18733,0,0,-1
"484",1982,"HS",18,51565,0,1,1,1
"485",1984,"HS",18,64866,0,1,1,1
"486",1986,"HS",18,43241,0,0,0,1
"487",1990,"HS",18,65654,0,1,1,1
"488",1992,"HS",18,87971,0,1,1,1
"489",1994,"HS",18,69863,30310,0,0,0
"490",2008,"HS",18,115780,33596,1,1,0
"491",2010,"HS",18,85237,28124,1,1,0
"492",2012,"HS",18,75865,0,0,0,1
"493",2014,"HS",18,44321,7358,1,1,0
"494",1974,"SEN",18,0,57910,0,0,-1
"495",1978,"SEN",18,118153,61384,1,1,0
"496",1982,"SEN",18,0,99540,0,0,-1
"497",1986,"SEN",18,0,62659,0,0,-1
"498",1990,"SEN",18,0,65499,0,0,-1
"499",1994,"SEN",18,158161,109734,0,0,0
"500",1998,"SEN",18,169818,0,1,1,1
"501",2006,"SEN",18,59187,0,0,0,1
"502",2014,"SEN",18,114833,50083,0,0,0
"503",1974,"HS",19,0,21178,0,0,-1
"504",1976,"HS",19,0,21797,0,0,-1
"505",1978,"HS",19,0,21568,0,0,-1
"506",1980,"HS",19,45376,0,1,1,1
"507",1982,"HS",19,0,29059,0,0,-1
"508",1984,"HS",19,67479,35152,1,1,0
"509",1986,"HS",19,56809,20010,0,0,0
"510",1988,"HS",19,67584,0,1,1,1
"511",1992,"HS",19,108428,36020,1,1,0
"512",1994,"HS",19,100602,0,1,1,1
"513",1996,"HS",19,72464,0,0,0,1
"514",1998,"HS",19,75980,0,1,1,1
"515",2004,"HS",19,114277,0,1,1,1
"516",2008,"HS",19,0,39132,0,0,-1
"517",2010,"HS",19,0,33765,0,0,-1
"518",2012,"HS",19,92858,0,0,0,1
"519",2014,"HS",19,57696,17860,1,1,0
"520",1980,"SEN",19,0,153650,0,0,-1
"521",1988,"SEN",19,0,216257,1,-1,-1
"522",2000,"SEN",19,121893,165422,0,0,0
"523",2004,"SEN",19,151085,233365,1,-1,0
"524",2008,"SEN",19,0,207976,0,0,-1
"525",1974,"HS",20,31757,56421,1,-1,0
"526",1976,"HS",20,32726,74214,1,-1,0
"527",1978,"HS",20,45397,49975,0,0,0
"528",1980,"HS",20,0,74656,1,-1,-1
"529",1982,"HS",20,34102,72091,1,-1,0
"530",1988,"HS",20,0,62789,1,-1,-1
"531",1992,"HS",20,83889,47044,1,1,0
"532",1994,"HS",20,0,40885,0,0,-1
"533",1996,"HS",20,70130,44270,1,1,0
"534",1998,"HS",20,52132,38239,0,0,0
"535",2000,"HS",20,75455,0,1,1,1
"536",2002,"HS",20,53304,0,1,1,1
"537",2004,"HS",20,87724,40114,0,0,0
"538",2012,"HS",20,67028,0,0,0,1
"539",1974,"SEN",20,94837,0,0,0,1
"540",1978,"SEN",20,0,37119,0,0,-1
"541",1990,"SEN",20,73610,0,1,1,1
"542",1994,"SEN",20,75345,53528,1,1,0
"543",1998,"SEN",20,0,34120,0,0,-1
"544",2006,"SEN",20,84459,0,0,0,1
"545",2010,"SEN",20,0,37420,0,0,-1
"546",2014,"SEN",20,24332,4395,0,0,0
"547",1980,"HS",21,57903,0,0,0,1
"548",1984,"HS",21,79488,34965,1,1,0
"549",1986,"HS",21,59042,21137,1,1,0
"550",1992,"HS",21,0,55497,0,0,-1
"551",1996,"HS",21,92950,52855,0,0,0
"552",1998,"HS",21,0,35053,0,0,-1
"553",2000,"HS",21,0,53140,0,0,-1
"554",2002,"HS",21,0,42808,0,0,-1
"555",2004,"HS",21,98002,92118,0,0,0
"556",2010,"HS",21,89927,0,0,0,1
"557",2012,"HS",21,63349,45534,0,0,0
"558",2014,"HS",21,19163,12113,1,1,0
"559",1980,"SEN",21,43458,0,0,0,1
"560",1988,"SEN",21,77362,188573,1,-1,0
"561",1996,"SEN",21,0,107039,0,0,-1
"562",2000,"SEN",21,158145,0,0,0,1
"563",2008,"SEN",21,204737,0,0,0,1
"564",2012,"SEN",21,112780,153412,0,0,0
"565",1974,"HS",22,29903,57263,1,-1,0
"566",1978,"HS",22,39045,0,0,0,1
"567",1980,"HS",22,0,64753,0,0,-1
"568",1982,"HS",22,41587,0,0,0,1
"569",1984,"HS",22,0,87583,1,-1,-1
"570",1986,"HS",22,0,57684,0,0,-1
"571",1988,"HS",22,49353,85386,1,-1,0
"572",1990,"HS",22,38382,0,0,0,1
"573",1992,"HS",22,81578,0,1,1,1
